文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
三白草 Sanbaicao.txt,2025-05-23 21:40:34,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-23 21:40:38,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
丝棉木 Simianmu.txt,2025-05-23 21:40:43,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
丝瓜 Sigua.txt,2025-05-23 21:40:46,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
两面针 Liangmainzhen.txt,2025-05-23 21:40:49,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-23 21:40:54,属、疾病、科、药用植物、药用部位,1.0,属于、属于属、属于科、治疗、药用部位,0.8
中国无忧花 Zhongguowuyouhua.txt,2025-05-23 21:41:08,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
中国沙棘 Zhongguoshaji.txt,2025-05-23 21:41:12,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
中麻黄 Zhongmahuang.txt,2025-05-23 21:41:16,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
丹参 Danshen.txt,2025-05-23 21:41:26,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
乌头 Chuanwutou.txt,2025-05-23 21:41:30,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-23 21:41:33,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
乌桕 Wujiu.txt,2025-05-23 21:41:43,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
乌毛蕨 Wumaojue.txt,2025-05-23 21:41:46,属、疾病、科、药用植物、药用部位,1.0,属于、属于属、属于科、治疗、药用部位,1.0
乌药 Wuyao.txt,2025-05-23 21:41:51,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
乌蔹莓 Wulianmei.txt,2025-05-23 21:41:55,疾病、科、药用植物、药用部位,0.8,属于属、属于科、治疗、药用部位,0.8
乌蕨 Wujue.txt,2025-05-23 21:41:59,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
九头狮子草 Jiutoushizhicao.txt,2025-05-23 21:42:02,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
九里香 Jiulixiang.txt,2025-05-23 21:42:11,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
买麻藤 Maimateng.txt,2025-05-23 21:42:14,疾病、科、药用植物、药用部位,0.8,属于属、属于科、治疗、药用部位,0.8
了哥王 Liaogewang.txt,2025-05-23 21:42:24,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
二色补血草 Ersebuxuecao.txt,2025-05-23 21:42:27,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
云南重楼 Chonglong.txt,2025-05-23 21:42:30,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
云木香 Yunmuxiang.txt,2025-05-23 21:42:34,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
五味子 Wuweizi.txt,2025-05-23 21:42:38,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
五爪金龙 Wuzhaojinlong.txt,2025-05-23 21:42:42,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
五色梅 Wusemei.txt,2025-05-23 21:42:48,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
亚麻 Yama.txt,2025-05-23 21:42:53,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
人参 Renshen.txt,2025-05-23 21:42:57,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
人面子 Renmianzi.txt,2025-05-23 21:43:01,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
仙人掌 Xianrenzhang.txt,2025-05-23 21:43:08,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
仙茅 Xianmao.txt,2025-05-23 21:43:12,属、疾病、科、药用植物、药用部位,1.0,属于、属于属、属于科、治疗、药用部位,1.0
代代花 Daidaihua.txt,2025-05-23 21:43:15,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
仪花 Yihua.txt,2025-05-23 21:43:21,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
伏生紫堇 Fushengzijin.txt,2025-05-23 21:43:25,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
伏石蕨 Fushijue.txt,2025-05-23 21:43:29,疾病、科、药用植物、药用部位,0.8,属于科、治疗、药用部位,0.6
伞房花耳草 Sanfanghuaercao.txt,2025-05-23 21:43:32,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
何首乌 Heshouwu.txt,2025-05-23 21:43:40,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
余甘子 Yuganzi.txt,2025-05-23 21:43:44,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
佛手 Foshou.txt,2025-05-23 21:43:48,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
佛甲草 Fojiacao.txt,2025-05-23 21:43:52,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
佛肚树 Fodushu.txt,2025-05-23 21:43:56,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
佩兰 Peilian.txt,2025-05-23 21:44:00,属、疾病、科、药用植物、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,0.8
使君子 Shijuzi.txt,2025-05-23 21:44:04,中药名、属、疾病、科、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,0.8
侧柏 Cebai.txt,2025-05-23 21:44:09,中药名、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
倒地铃 Daodiling.txt,2025-05-23 21:44:14,中药名、其他、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
倒提壶 Daotihu.txt,2025-05-23 21:44:17,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
假地豆 Jiadidou.txt,2025-05-23 21:44:22,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
假蒟 Jiaju.txt,2025-05-23 21:44:34,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
假连翘 Jialianqiao.txt,2025-05-23 21:44:38,其他、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
光叶海桐 Guangyehaitong.txt,2025-05-23 21:44:49,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
兔儿伞 Tuersan.txt,2025-05-23 21:44:53,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
党参 Dangshen.txt,2025-05-23 21:45:02,中药名、属、疾病、科、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
八角枫 Bajiaofeng.txt,2025-05-23 21:45:07,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于、属于属、属于科、治疗、药用部位,0.8333333333333334
八角茴香 Bajiaohuixiang.txt,2025-05-23 21:45:13,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
八角金盘 Bajiaojinpan.txt,2025-05-23 21:45:17,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
六棱菊 Liulengju.txt,2025-05-23 21:45:22,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
兰香草 Lanxiangcao.txt,2025-05-23 21:45:25,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
兴安升麻 Xinganshengma.txt,2025-05-23 21:45:35,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
冬瓜 Donggua.txt,2025-05-23 21:45:39,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
冬葵 Dongkui.txt,2025-05-23 21:45:43,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
冬虫夏草菌 Dongchongxiacaojun.txt,2025-05-23 21:45:46,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗,0.5
决明 Jueming.txt,2025-05-23 21:45:49,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
凉粉草 Liangfencao.txt,2025-05-23 21:45:58,属、疾病、科、药用植物、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
凤仙花 Fengxianhua.txt,2025-05-23 21:46:04,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
凤尾草 Fengweicao.txt,2025-05-23 21:46:07,属、疾病、科、药用植物、药用部位,0.7142857142857143,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
凤眼莲 Fengyanlian.txt,2025-05-23 21:46:17,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
凹叶厚朴 AoyeHoupo.txt,2025-05-23 21:46:28,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
刀豆 Daodou.txt,2025-05-23 21:46:31,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
列当 Liedang.txt,2025-05-23 21:46:34,其他、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
刺五加 Ciwujia.txt,2025-05-23 21:46:38,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
刺儿菜 Chiercai.txt,2025-05-23 21:46:43,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
刺果甘草 Ciguogancao.txt,2025-05-23 21:46:47,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
刺桐 Citong.txt,2025-05-23 21:46:58,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
刺梨 Cili.txt,2025-05-23 21:47:02,其他、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
刺楸 Ciqiu.txt,2025-05-23 21:47:07,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
刺芋 Ciyu.txt,2025-05-23 21:47:12,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
刺芫荽 Ciyuansui.txt,2025-05-23 21:47:21,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
刺蒴麻 Cishuoma.txt,2025-05-23 21:47:25,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
剑叶龙血树 Jianyelongxieshu.txt,2025-05-23 21:47:35,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
化州柚 Huazhouyou.txt,2025-05-23 21:47:50,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
北乌头 Beiwutou.txt,2025-05-23 21:47:53,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
北沙参 Beishasheng.txt,2025-05-23 21:47:58,中药名、属、疾病、科、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
北细辛 Beixixin.txt,2025-05-23 21:48:02,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
北苍朮 Beicangzhu.txt,2025-05-23 21:48:12,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
北马兜铃 Beimadouling.txt,2025-05-23 21:48:15,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗,0.6666666666666666
北黄花菜 Beihuanghuacai.txt,2025-05-23 21:48:25,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于、属于属、属于科、治疗、药用部位,0.8333333333333334
匙羹藤 Chigengteng.txt,2025-05-23 21:48:29,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
千叶蓍 Qianyeshi.txt,2025-05-23 21:48:33,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
千屈菜 Qianqucai.txt,2025-05-23 21:48:36,其他、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
千年健 Qiannianjian.txt,2025-05-23 21:48:39,属、疾病、科、药用植物、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
千日红 Qianrihong.txt,2025-05-23 21:48:43,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
千根草 Qiangencao.txt,2025-05-23 21:48:47,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
地笋 Disun.txt,2025-05-23 21:48:50,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
