文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
五爪金龙 Wuzhaojinlong.txt,2025-05-16 21:24:14,别名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.9,别名、功能、属于、性味、治疗、药用部位、记载于,0.7777777777777778
五色梅 Wusemei.txt,2025-05-16 21:24:48,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,功能、属于属、属于科、性味、治疗、药用部位、记载于,0.45454545454545453
亚麻 Yama.txt,2025-05-16 21:25:20,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.8181818181818182
人参 Renshen.txt,2025-05-16 21:25:45,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,不宜与、功能、属于属、属于科、性味、治疗、药用部位、记载,0.5833333333333334
人心果 Renxinguo.txt,2025-05-16 21:26:04,功能、属、性味、疾病、科、药材、药用植物、药用部位,0.8,功能、属于属、属于科、性味、治疗、药用部位,0.5
人面子 Renmianzi.txt,2025-05-16 21:26:29,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,功能、属于属、属于科、性味、治疗、药用部位、记载于,0.5833333333333334
仙人掌 Xianrenzhang.txt,2025-05-16 21:26:51,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8,功能、属于属、属于科、性味、治疗、药用部位、记载于,0.5833333333333334
仙茅 Xianmao.txt,2025-05-16 21:27:22,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,不宜与、与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.75
代代花 Daidaihua.txt,2025-05-16 21:27:39,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6666666666666666
仪花 Yihua.txt,2025-05-16 21:28:02,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.75
伏生紫堇 Fushengzijin.txt,2025-05-16 21:28:21,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.75
伏石蕨 Fushijue.txt,2025-05-16 21:28:47,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,不宜与、与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.8333333333333334
伞房花耳草 Sanfanghuaercao.txt,2025-05-16 21:29:08,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.75
何首乌 Heshouwu.txt,2025-05-16 21:29:38,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,不宜与、与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.8333333333333334
余甘子 Yuganzi.txt,2025-05-16 21:30:11,人群、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8181818181818182,不宜与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6666666666666666
佛手 Foshou.txt,2025-05-16 21:30:36,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,不宜与、与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.8333333333333334
佛手瓜 Foshugua.txt,2025-05-16 21:30:53,功能、属、性味、疾病、科、药材、药用植物、药用部位,0.7272727272727273,别名、功能、属于属、属于科、性味、治疗、药用部位,0.5833333333333334
佛甲草 Fojiacao.txt,2025-05-16 21:31:16,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,功能、属于属、属于科、性味、治疗、药用部位、记载于,0.5833333333333334
佛肚树 Fodushu.txt,2025-05-16 21:31:34,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6666666666666666
佩兰 Peilian.txt,2025-05-16 21:31:58,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,不宜与、与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.75
使君子 Shijuzi.txt,2025-05-16 21:32:14,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6666666666666666
侧柏 Cebai.txt,2025-05-16 21:32:38,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,不宜与、别名、功能、导致、属于属、属于科、性味、治疗、药用部位、记载于,0.6923076923076923
倒地铃 Daodiling.txt,2025-05-16 21:33:01,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6923076923076923
倒提壶 Daotihu.txt,2025-05-16 21:33:28,别名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8181818181818182,别名、功能、属于属、属于科、性味、治疗、药用部位、记载,0.6153846153846154
假地豆 Jiadidou.txt,2025-05-16 21:33:57,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6923076923076923
假苹婆 Jiapingpo.txt,2025-05-16 21:34:09,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.7272727272727273,别名、功能、属于属、属于科、性味、治疗、药用部位,0.5384615384615384
假蒟 Jiaju.txt,2025-05-16 21:34:47,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,功能、属于属、属于科、性味、治疗、药用部位、记载于,0.5384615384615384
假连翘 Jialianqiao.txt,2025-05-16 21:35:17,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6153846153846154
元宝槭 Yuanbaoqi.txt,2025-05-16 21:35:50,功能、属、性味、疾病、科、药用植物、药用部位,0.6363636363636364,功能、属于属、属于科、性味、治疗、药用部位,0.46153846153846156
光叶海桐 Guangyehaitong.txt,2025-05-16 21:36:33,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9090909090909091,不宜与、与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.7692307692307693
光棍树 Guanggunshu.txt,2025-05-16 21:36:52,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.7272727272727273,别名、功能、属于属、属于科、性味、治疗、药用部位,0.5384615384615384
党参 Dangshen.txt,2025-05-16 21:38:05,别名、功能、属、性味、疾病、科、药材、药用部位,0.7272727272727273,与、别名、功能、属于属、属于科、性味、治疗、药用部位,0.6153846153846154
八角枫 Bajiaofeng.txt,2025-05-16 21:38:34,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6153846153846154
八角茴香 Bajiaohuixiang.txt,2025-05-16 21:38:58,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8181818181818182,功能、属于属、属于科、性味、治疗、药用部位、记载于,0.5384615384615384
八角金盘 Bajiaojinpan.txt,2025-05-16 21:39:21,人群、功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.8333333333333334,不宜与、与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6923076923076923
六棱菊 Liulengju.txt,2025-05-16 21:39:52,别名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.75,别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6153846153846154
六道木 Liudaomu.txt,2025-05-16 21:40:07,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.6666666666666666,别名、功能、属于属、属于科、性味、治疗、药用部位,0.5384615384615384
兰香草 Lanxiangcao.txt,2025-05-16 21:40:30,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6153846153846154
冬青卫矛 Dongqingweimao.txt,2025-05-16 21:43:00,人群、功能、属、性味、疾病、科、药材、药用植物、药用部位,0.75,不宜与、别名、功能、属于属、属于科、性味、治疗、药用部位,0.6153846153846154
决明 Jueming.txt,2025-05-16 21:43:26,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8333333333333334,不宜与、与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.7692307692307693
凉粉草 Liangfencao.txt,2025-05-16 21:43:52,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6153846153846154
凤仙花 Fengxianhua.txt,2025-05-16 21:44:42,功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.8333333333333334,别名、功能、属于属、属于科、性味、毒性、治疗、药用部位、记载于,0.5714285714285714
凤凰木 Fenghuangmu.txt,2025-05-16 21:45:00,功能、属、性味、疾病、科、药材、药用植物、药用部位,0.6666666666666666,功能、属于属、属于科、性味、治疗、药用部位,0.42857142857142855
凤尾草 Fengweicao.txt,2025-05-16 21:45:29,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8333333333333334,不宜与、与、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6428571428571429
凤梨 Fengli.txt,2025-05-16 21:45:55,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.6666666666666666,别名、功能、属于属、属于科、性味、治疗、药用部位,0.5
凤眼莲 Fengyanlian.txt,2025-05-16 21:46:20,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.6428571428571429
化州柚 Huazhouyou.txt,2025-05-16 21:51:37,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8333333333333334,不宜与、与、别名、功能、属于属、属于科、性味、治疗、药用部位、记载于,0.7142857142857143
北乌头 Beiwutou.txt,2025-05-16 21:51:58,人群、功能、属、性味、毒性、疾病、科、药材、药用植物、药用部位,0.8333333333333334,不宜与、与、别名、功能、属于属、属于科、性味、毒性、治疗、药用部位,0.7142857142857143
北沙参 Beishasheng.txt,2025-05-16 21:52:23,人群、功能、属、性味、文献、毒性、疾病、科、药材、药用部位,0.8333333333333334,不宜与、具有功能、具有性味、具有毒性、属于属、属于科、慎服、治疗、药用部位、记载,0.3333333333333333
北玄参 Beixuanshen.txt,2025-05-16 21:52:50,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
北细辛 Beixixin.txt,2025-05-16 21:53:13,人群、功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.9166666666666666,不宜与、与、具有功能、具有性味、具有毒性、属于属、属于科、慎服、治疗、药用部位、记载,0.6111111111111112
北苍朮 Beicangzhu.txt,2025-05-16 21:53:50,人群、功能、属、性味、文献、疾病、科、药材、药用部位,0.75,不宜与、与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.5
北马兜铃 Beimadouling.txt,2025-05-16 21:54:16,人群、功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.9166666666666666,不宜与、具有功能、具有性味、具有毒性、别名、属于属、属于科、慎服、治疗、药用部位、记载于,0.6111111111111112
北黄花菜 Beihuanghuacai.txt,2025-05-16 21:54:37,功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.8333333333333334,与、具有功能、具有性味、具有毒性、别名、属于属、属于科、治疗、药用部位、记载于,0.5555555555555556
匙叶鼠曲草 Shiyeshuqucao.txt,2025-05-16 21:54:50,功能、属、性味、疾病、科、药材、药用植物、药用部位,0.6666666666666666,具有功能、具有性味、属于属、属于科、治疗、药用部位,0.3333333333333333
匙羹藤 Chigengteng.txt,2025-05-16 21:55:08,别名、功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.9166666666666666,与、具有功能、具有性味、具有毒性、别名、属于属、属于科、治疗、药用部位、记载于,0.5555555555555556
千叶蓍 Qianyeshi.txt,2025-05-16 21:55:30,别名、功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.9166666666666666,与、具有功能、具有性味、具有毒性、别名、属于属、属于科、治疗、药用部位、记载于,0.5555555555555556
千屈菜 Qianqucai.txt,2025-05-16 21:55:46,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
千年健 Qiannianjian.txt,2025-05-16 21:56:04,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.3888888888888889
千日红 Qianrihong.txt,2025-05-16 21:56:23,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
千根草 Qiangencao.txt,2025-05-16 21:56:42,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8333333333333334,与、具有功能、具有性味、别名、属于属、属于科、治疗、药用部位、记载于,0.5
千里光 Qianliguang.txt,2025-05-16 21:57:10,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
千里香 Qianlixiang.txt,2025-05-16 21:57:36,人群、功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.9166666666666666,不宜与、与、具有功能、具有性味、具有毒性、别名、属于属、属于科、治疗、药用部位、记载于,0.6111111111111112
升麻 Shengma.txt,2025-05-16 21:57:57,人群、功能、属、性味、文献、毒性、疾病、科、药材、药用部位,0.8333333333333334,具有功能、具有性味、具有毒性、属于属、属于科、慎服、治疗、药用部位、记载于,0.5
半夏 Banxia.txt,2025-05-16 21:58:20,功能、属、性味、文献、毒性、疾病、科、药材、药用部位,0.75,具有功能、具有性味、具有毒性、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
半枝莲 Banzhilian.txt,2025-05-16 21:58:53,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8333333333333334,不宜与、具有功能、具有性味、属于属、属于科、慎服、治疗、药用部位、记载于,0.5
半边旗 Banbianqi.txt,2025-05-16 21:59:15,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
半边莲 Banbianlian.txt,2025-05-16 21:59:31,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,与、具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.4444444444444444
华中五味子 Huazhongwuweizi.txt,2025-05-16 21:59:55,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8333333333333334,与、具有功能、具有性味、别名、属于属、属于科、治疗、药用部位、记载于,0.5
华北蓝盆花 Huabeilanpenhua.txt,2025-05-16 22:00:14,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.75,具有功能、具有性味、包含、属于属、属于科、治疗、药用部位、记载于,0.3684210526315789
华南忍冬 Huananrendong.txt,2025-05-16 22:00:44,人群、功能、属、性味、文献、疾病、科、药方、药材、药用植物、药用部位,0.7692307692307693,不宜与、具有功能、具有性味、别名、属于属、属于科、治疗、药用部位、记载于,0.47368421052631576
华南毛蕨 Huananmaojue.txt,2025-05-16 22:01:01,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.6923076923076923,具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.3684210526315789
华南紫萁 Huananziqi.txt,2025-05-16 22:01:21,别名、功能、属、性味、疾病、科、药材、药用植物、药用部位,0.6923076923076923,具有功能、具有性味、别名、属于属、属于科、治疗、药用部位,0.3684210526315789
华南远志 Huananyuanzhi.txt,2025-05-16 22:01:52,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药用部位、记载于,0.42105263157894735
华山姜 Huashanjiang.txt,2025-05-16 22:02:14,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药方、药用部位、记载于,0.4
华山松 Huashansong.txt,2025-05-16 22:02:33,功能、属、性味、文献、疾病、科、药方、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药方、药用部位、记载于,0.45
华细辛 Huaxixin.txt,2025-05-16 22:03:40,人群、功能、属、性味、文献、毒性、疾病、科、药方、药材、药用植物、药用部位,0.9230769230769231,不宜与、与、具有功能、具有性味、具有毒性、别名、属于属、属于科、慎服、治疗、药方、药用部位、记载于,0.65
华重楼 Huachonglou.txt,2025-05-16 22:04:05,功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、具有毒性、别名、属于属、属于科、治疗、药用部位、记载于,0.45
单叶新月蕨 Danyexinyuejue.txt,2025-05-16 22:04:27,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药用部位、记载,0.4
单叶蔓荆 Danyemanjing.txt,2025-05-16 22:04:53,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药方、药用部位、记载于,0.45
单色蝴蝶草 Dansehudiecao.txt,2025-05-16 22:05:14,别名、功能、属、性味、疾病、科、药材、药用植物、药用部位,0.6923076923076923,具有功能、具有性味、别名、属于属、属于科、治疗、药用部位,0.35
南丹参 Nandanshen.txt,2025-05-16 22:05:34,功能、属、性味、文献、疾病、科、药方、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、属于属、属于科、治疗、药方、药用部位、记载于,0.4
南天竹 Nantianzhu.txt,2025-05-16 22:06:19,功能、属、性味、文献、毒性、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、具有毒性、导致、属于属、属于科、慎服、治疗、药方、药用部位、记载于,0.55
南方红豆杉 Nanfanghongdoushan.txt,2025-05-16 22:06:35,功能、属、疾病、科、药用植物、药用部位,0.46153846153846156,具有功能、属于属、属于科、治疗、药用部位,0.25
南瓜 Nangua.txt,2025-05-16 22:06:51,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.6923076923076923,具有功能、具有性味、属于属、属于科、治疗、药方、药用部位、记载于,0.4
南酸枣 Nansuanzao.txt,2025-05-16 22:07:45,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药方、药用部位、记载,0.45
博落回 Boluohui.txt,2025-05-16 22:08:05,功能、属、性味、毒性、疾病、科、药方、药用植物、药用部位,0.6923076923076923,具有功能、具有性味、具有毒性、属于属、属于科、慎服、治疗、药方、药用部位,0.45
卫矛 Weimao.txt,2025-05-16 22:08:33,人群、功能、属、性味、文献、疾病、科、药方、药材、药用植物、药用部位,0.8461538461538461,与、具有功能、具有性味、别名、包含、属于属、属于科、慎服、治疗、药用部位、记载于,0.55
卷丹 JuanDan.txt,2025-05-16 22:09:13,功能、属、性味、文献、疾病、科、药方、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、别名、属于属、属于科、治疗、药用部位、记载于,0.4
卷柏 Juanbai.txt,2025-05-16 22:09:31,人群、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、属于属、属于科、慎服、治疗、药用部位、记载于,0.4
厚朴 Houpo.txt,2025-05-16 22:09:55,功能、属、性味、文献、疾病、科、药方、药材、药用植物、药用部位,0.7692307692307693,具有功能、具有性味、属于属、属于科、治疗、药用部位、记载于,0.35
