文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
倒地铃 Daodiling.txt,2025-05-23 22:10:36,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
倒提壶 Daotihu.txt,2025-05-23 22:11:00,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
假地豆 Jiadidou.txt,2025-05-23 22:11:23,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
假蒟 Jiaju.txt,2025-05-23 22:12:05,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
假连翘 Jialianqiao.txt,2025-05-23 22:12:31,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
光叶海桐 Guangyehaitong.txt,2025-05-23 22:13:25,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
兔儿伞 Tuersan.txt,2025-05-23 22:13:53,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
党参 Dangshen.txt,2025-05-23 22:14:19,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
八角枫 Bajiaofeng.txt,2025-05-23 22:14:47,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
八角茴香 Bajiaohuixiang.txt,2025-05-23 22:15:10,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
八角金盘 Bajiaojinpan.txt,2025-05-23 22:15:39,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
六棱菊 Liulengju.txt,2025-05-23 22:16:06,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
兰香草 Lanxiangcao.txt,2025-05-23 22:16:25,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
兴安升麻 Xinganshengma.txt,2025-05-23 22:16:46,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
冬瓜 Donggua.txt,2025-05-23 22:17:10,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
冬葵 Dongkui.txt,2025-05-23 22:17:37,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
冬虫夏草菌 Dongchongxiacaojun.txt,2025-05-23 22:18:02,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
决明 Jueming.txt,2025-05-23 22:18:23,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
凉粉草 Liangfencao.txt,2025-05-23 22:18:46,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
凤仙花 Fengxianhua.txt,2025-05-23 22:19:27,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
凤尾草 Fengweicao.txt,2025-05-23 22:19:52,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
凤眼莲 Fengyanlian.txt,2025-05-23 22:20:17,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
凹叶厚朴 AoyeHoupo.txt,2025-05-23 22:20:54,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刀豆 Daodou.txt,2025-05-23 22:21:12,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
列当 Liedang.txt,2025-05-23 22:21:32,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺五加 Ciwujia.txt,2025-05-23 22:21:57,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺儿菜 Chiercai.txt,2025-05-23 22:22:22,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺果甘草 Ciguogancao.txt,2025-05-23 22:22:47,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺桐 Citong.txt,2025-05-23 22:23:27,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺梨 Cili.txt,2025-05-23 22:23:43,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺楸 Ciqiu.txt,2025-05-23 22:24:14,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺芋 Ciyu.txt,2025-05-23 22:24:47,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺芫荽 Ciyuansui.txt,2025-05-23 22:25:15,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
刺蒴麻 Cishuoma.txt,2025-05-23 22:25:35,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
剑叶龙血树 Jianyelongxieshu.txt,2025-05-23 22:25:55,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药物类型、药用部位,0.8571428571428571
化州柚 Huazhouyou.txt,2025-05-23 22:26:13,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
北乌头 Beiwutou.txt,2025-05-23 22:26:34,中药名、属、疾病、科、药用植物、药用部位,0.75,中药名、属于属、属于科、治疗、药用部位,0.7142857142857143
北沙参 Beishasheng.txt,2025-05-23 22:27:07,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
北细辛 Beixixin.txt,2025-05-23 22:27:27,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
北苍朮 Beicangzhu.txt,2025-05-23 22:27:56,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
北马兜铃 Beimadouling.txt,2025-05-23 22:28:23,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
北黄花菜 Beihuanghuacai.txt,2025-05-23 22:28:46,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
匙羹藤 Chigengteng.txt,2025-05-23 22:29:13,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
千叶蓍 Qianyeshi.txt,2025-05-23 22:29:40,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
千屈菜 Qianqucai.txt,2025-05-23 22:30:00,属、文献、疾病、科、药用植物、药用部位,0.75,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
千年健 Qiannianjian.txt,2025-05-23 22:30:26,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药物类型、药用部位,1.0
千日红 Qianrihong.txt,2025-05-23 22:30:48,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
千根草 Qiangencao.txt,2025-05-23 22:31:14,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
地笋 Disun.txt,2025-05-23 22:31:31,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,0.8571428571428571
