文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
三叉苦 Sanchaku.txt,2025-05-16 19:08:54,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三叶木通 Sanyemutong.txt,2025-05-16 19:09:45,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、功能、属于属、属于科、性味、药用部位为、记载于文献,0.7
三色堇 Sansejin.txt,2025-05-16 19:10:30,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.6
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-16 19:11:23,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为、记载于文献,0.8
东方罂粟 Dongfangyingsu.txt,2025-05-16 19:11:38,功能、属、疾病、科、药用植物、药用部位,0.75,主治疾病、具有功能、属于属、属于科、药用部位为,0.5
丝棉木 Simianmu.txt,2025-05-16 19:12:40,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
丝瓜 Sigua.txt,2025-05-16 19:13:18,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为、记载于文献,0.8
两面针 Liangmainzhen.txt,2025-05-16 19:13:47,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-16 19:15:28,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、属于属、属于科、性味、药用部位为、记载于文献,0.7
中国无忧花 Zhongguowuyouhua.txt,2025-05-16 19:15:59,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为,0.7
中国沙棘 Zhongguoshaji.txt,2025-05-16 19:16:42,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
中麻黄 Zhongmahuang.txt,2025-05-16 19:18:16,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
丹参 Danshen.txt,2025-05-16 19:19:00,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
乌头 Chuanwutou.txt,2025-05-16 19:19:26,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-16 19:19:48,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7272727272727273
乌桕 Wujiu.txt,2025-05-16 19:21:31,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌毛蕨 Wumaojue.txt,2025-05-16 19:22:01,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7272727272727273
乌药 Wuyao.txt,2025-05-16 19:22:38,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌蔹莓 Wulianmei.txt,2025-05-16 19:23:08,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌蕨 Wujue.txt,2025-05-16 19:23:57,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7272727272727273
九头狮子草 Jiutoushizhicao.txt,2025-05-16 19:24:32,中药名、功能、属、性味、文献、科、药用部位,0.7777777777777778,具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.5454545454545454
九里香 Jiulixiang.txt,2025-05-16 19:25:03,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
买麻藤 Maimateng.txt,2025-05-16 19:25:32,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乳茄 Ruqie.txt,2025-05-16 19:25:52,中药名、功能、属、性味、疾病、科、药用植物、药用部位,0.8888888888888888,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.6363636363636364
了哥王 Liaogewang.txt,2025-05-16 19:27:18,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、属于属、属于科、性味、药用部位为、记载于文献,0.6363636363636364
二色补血草 Ersebuxuecao.txt,2025-05-16 19:27:51,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
云南重楼 Chonglong.txt,2025-05-16 19:28:10,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
云木香 Yunmuxiang.txt,2025-05-16 19:28:44,中药名、功能、属、性味、用法、疾病、科、药用部位,0.8,主治疾病、具有功能、属于属、属于科、性味、药用部位为,0.5
五味子 Wuweizi.txt,2025-05-16 19:29:32,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.9,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献,0.6666666666666666
五爪金龙 Wuzhaojinlong.txt,2025-05-16 19:30:11,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.9,中药名、主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献,0.75
五色梅 Wusemei.txt,2025-05-16 19:31:36,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.9,主治疾病、具有功能、属于属、属于科、性味、药用部位为、记载于文献,0.5833333333333334
亚麻 Yama.txt,2025-05-16 19:32:40,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.9,中药名、主治疾病、具有功能、属于属、属于科、属于药用植物、性味、记载于文献,0.6666666666666666
人参 Renshen.txt,2025-05-16 19:34:38,中药名、功能、属、性味、用法、疾病、科、药用部位,0.8,不宜与、主治疾病、具有功能、属于属、属于科、性味、用法、药用部位为,0.6153846153846154
人心果 Renxinguo.txt,2025-05-16 19:35:14,中药名、功能、属、性味、用法、疾病、科、药用部位,0.8,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为,0.5384615384615384
人面子 Renmianzi.txt,2025-05-16 19:36:16,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.5384615384615384
仙人掌 Xianrenzhang.txt,2025-05-16 19:37:02,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.9,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.5384615384615384
仙茅 Xianmao.txt,2025-05-16 19:37:41,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6153846153846154
代代花 Daidaihua.txt,2025-05-16 19:38:12,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.5384615384615384
仪花 Yihua.txt,2025-05-16 19:38:46,中药名、功能、属、性味、文献、用法、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献,0.6153846153846154
伏生紫堇 Fushengzijin.txt,2025-05-16 19:39:24,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.9,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为、记载于文献,0.6153846153846154
伏石蕨 Fushijue.txt,2025-05-16 19:41:10,不宜与、中药名、功能、属、性味、用法、疾病、科、药用植物、药用部位,0.6666666666666666,不宜与、中药名、主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为,0.6
伞房花耳草 Sanfanghuaercao.txt,2025-05-16 19:42:03,中药名、功能、属、文献、用法、用法用量、疾病、科、药用部位、采收时间,0.6666666666666666,中药名、主治疾病、具有功能、属于属、属于科、用法、用法用量、药用部位为、记载于文献、采收时间,0.5625
何首乌 Heshouwu.txt,2025-05-16 19:43:53,不宜与、中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.6666666666666666,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献,0.5625
余甘子 Yuganzi.txt,2025-05-16 19:44:36,不宜与、中药名、功能、属、性味、文献、用法、疾病、科、药用部位、采收时间,0.7333333333333333,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献、采收时间,0.625
佛手 Foshou.txt,2025-05-16 19:45:31,中药名、功能、属、性味、文献、疾病、科、药用部位、采收时间,0.6,主治疾病、具有功能、属于属、属于科、性味、药用部位为、记载于文献、采收时间,0.5
佛手瓜 Foshugua.txt,2025-05-16 19:46:11,中药名、功能、属、性味、用法、疾病、科、药用部位,0.5333333333333333,主治疾病、具有功能、属于属、属于科、性味、用法、药用部位为,0.4375
佛甲草 Fojiacao.txt,2025-05-16 19:48:03,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.6,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.4375
佛肚树 Fodushu.txt,2025-05-16 19:48:41,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.6,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献,0.5
佩兰 Peilian.txt,2025-05-16 19:49:29,不宜与、中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用部位,0.7333333333333333,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献,0.5882352941176471
使君子 Shijuzi.txt,2025-05-16 19:50:11,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位,0.7333333333333333,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献,0.5882352941176471
侧柏 Cebai.txt,2025-05-16 19:51:02,中药名、功能、属、性味、疾病、科、药用植物、药用部位,0.5333333333333333,中药名、主治疾病、具有功能、具有性味、包含中药、属于属、属于科、应用举例、用法用量、药用部位为,0.5
倒地铃 Daodiling.txt,2025-05-16 19:51:42,中药名、功能、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位、采收时间,0.6875,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收时间,0.5789473684210527
倒提壶 Daotihu.txt,2025-05-16 19:52:34,中药名、功能、属、性味、文献、用法、疾病、科、药用部位、采收时间,0.625,中药名、主治疾病、具有功能、属于属、属于科、应用举例、性味、用法、药用部位为、记载于文献,0.5263157894736842
假地豆 Jiadidou.txt,2025-05-16 19:53:17,中药名、功能、属、应用举例、性味、性味归经、文献、用法、用法用量、疾病、科、药用部位,0.75,主治疾病、具有功能、具有性味、具有性味归经、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献,0.5789473684210527
假苹婆 Jiapingpo.txt,2025-05-16 19:53:43,中药名、功能、属、性味、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.6875,中药名、主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为、采收时间,0.5263157894736842
假蒟 Jiaju.txt,2025-05-16 19:55:01,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.5625,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.3684210526315789
假连翘 Jialianqiao.txt,2025-05-16 19:55:28,中药名、功能、属、性味、文献、疾病、科、药用部位、采收时间,0.5625,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.3684210526315789
元宝槭 Yuanbaoqi.txt,2025-05-16 19:55:53,中药名、功能、属、性味、用法、疾病、科、药用部位、采收时间,0.5625,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为,0.3684210526315789
光叶海桐 Guangyehaitong.txt,2025-05-16 19:57:25,中药名、功能、属、性味、用法、疾病、科、药用植物、药用部位,0.5625,中药名、主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为、采收时间,0.5263157894736842
光棍树 Guanggunshu.txt,2025-05-16 19:57:50,中药名、功能、属、性味、疾病、科、药用植物、药用部位,0.5,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、采收时间,0.42105263157894735
兔儿伞 Tuersan.txt,2025-05-16 19:58:41,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用部位,0.625,主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为、记载于文献,0.45
党参 Dangshen.txt,2025-05-16 19:59:40,中药名、功能、属、性味、用法、用法用量、疾病、科、药用部位,0.5625,主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为,0.4
八角枫 Bajiaofeng.txt,2025-05-16 20:00:51,功能、属、性味、用法、疾病、科、药用植物、药用部位、采收时间,0.5625,主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为,0.4
八角茴香 Bajiaohuixiang.txt,2025-05-16 20:01:26,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.75,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收加工,0.55
八角金盘 Bajiaojinpan.txt,2025-05-16 20:02:05,中药名、功能、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位,0.6875,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为,0.45
六棱菊 Liulengju.txt,2025-05-16 20:03:09,中药名、功能、属、性味、性味归经、文献、用法、疾病、科、药用植物、药用部位、采收加工、采收时间,0.8125,中药名、主治疾病、功能、属于属、属于科、应用举例、性味、性味归经、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.7
六道木 Liudaomu.txt,2025-05-16 20:03:30,中药名、功能、属、性味、疾病、科、药用植物、药用部位、采收时间,0.5625,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、采收时间,0.4
兰香草 Lanxiangcao.txt,2025-05-16 20:04:17,中药名、功能、属、性味、文献、用法、疾病、科、药用部位、采收加工、采收时间,0.6875,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、药用部位为、记载于文献、采收加工,0.5
兴安升麻 Xinganshengma.txt,2025-05-16 20:05:22,不宜与、中药名、功能、属、性味、用法、用法用量、疾病、科、药用部位、采收时间,0.6875,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为,0.45
冬瓜 Donggua.txt,2025-05-16 20:05:50,中药名、功能、属、性味、文献、疾病、科、药用部位,0.5,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、药用部位为、记载于文献,0.4
冬葵 Dongkui.txt,2025-05-16 20:07:22,中药名、功能、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位,0.75,中药名、主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献,0.55
冬虫夏草菌 Dongchongxiacaojun.txt,2025-05-16 20:08:38,不宜与、中药名、功能、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.875,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.65
冬青卫矛 Dongqingweimao.txt,2025-05-16 20:09:43,中药名、功能、属、性味、疾病、科、药用部位、采收时间,0.5,不宜与、主治疾病、具有功能、具有性味、属于属、属于科、用法用量、药用部位为、采收时间,0.45
决明 Jueming.txt,2025-05-16 20:10:35,中药名、功能、属、应用举例、性味、文献、用法用量、疾病、科、药用部位、采收加工、采收时间,0.75,主治疾病、内服、功能、外治、外用、属于属、属于科、性味、药用部位为、记载于文献,0.30434782608695654
凉粉草 Liangfencao.txt,2025-05-16 20:12:07,中药名、功能、外用、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.7647058823529411,主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、应用举例、药用部位为、记载于文献、采收加工、采收时间,0.5217391304347826
凤仙花 Fengxianhua.txt,2025-05-16 20:14:00,中药名、主治用法、功能、属、应用举例、性味功能、文献、用法、疾病、科、药用植物、药用部位、采收加工,0.5789473684210527,中药名、主治疾病、具有功能、属于属、属于科、应用举例、性味、用法、药用部位为、记载于文献,0.43478260869565216
凤凰木 Fenghuangmu.txt,2025-05-16 20:14:35,中药名、主治用法、功能、属、性味、性味功能、用法、用法用量、疾病、科、药用部位、采收时间,0.631578947368421,主治用法、主治疾病、具有功能、具有性味、具有性味功能、属于属、属于科、用法、用法用量、药用部位为、采收加工,0.36
凤尾草 Fengweicao.txt,2025-05-16 20:15:34,不宜与、中药名、功能、外用、属、性味、文献、用法、疾病、科、药用部位,0.5789473684210527,不宜与、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、药用部位为、记载于文献,0.4
凤梨 Fengli.txt,2025-05-16 20:16:27,功能、属、性味、疾病、科、药用植物、药用部位,0.3684210526315789,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.24
凤眼莲 Fengyanlian.txt,2025-05-16 20:17:17,中药名、功能、外用、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.6842105263157895,中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、药用部位为、记载于文献,0.4
凹叶厚朴 AoyeHoupo.txt,2025-05-16 20:20:17,中药名、功能、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.6842105263157895,中药名、主治疾病、功能、属于属、属于科、应用举例、性味、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.52
刀豆 Daodou.txt,2025-05-16 20:20:55,中药名、主治用法、功能、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位,0.631578947368421,主治用法、主治疾病、具有功能、具有性味、内服、属于属、属于科、应用举例、药用部位为、记载于文献,0.4
列当 Liedang.txt,2025-05-16 20:21:37,中药名、功能、外用、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位、采收时间,0.6842105263157895,主治疾病、具有功能、具有性味、外用、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献,0.44
刺五加 Ciwujia.txt,2025-05-16 20:22:24,中药名、主治用法、功能、属、性味、性味功能、文献、用法、用法用量、疾病、科、药用部位、采收时间,0.6842105263157895,主治疾病、具有功能、具有性味、具有性味功能、内服、属于属、属于科、应用举例、药用部位为、采收加工,0.38461538461538464
刺儿菜 Chiercai.txt,2025-05-16 20:23:04,中药名、主治用法、功能、属、性味、文献、用法用量、疾病、科、药用部位、采收加工、采收时间,0.631578947368421,中药名、主治用法、主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.5
刺果甘草 Ciguogancao.txt,2025-05-16 20:24:35,中药名、功能、外用、属、应用举例、性味、性味功能、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.7894736842105263,中药名、主治用法、功能、外用、属于属、属于科、应用举例、性味、性味功能、用法、用法用量、药用部位为、记载于文献,0.5
刺果苏木 Ciguosumu.txt,2025-05-16 20:25:18,中药名、功能、属、性味、疾病、科、药用部位,0.3684210526315789,主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、用法、药用部位为、采收时间,0.38461538461538464
刺桐 Citong.txt,2025-05-16 20:26:03,中药名、功能、属、性味、疾病、科、药用植物、药用部位、采收时间,0.47368421052631576,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.2692307692307692
刺梨 Cili.txt,2025-05-16 20:26:41,中药名、主治用法、功能、属、应用举例、性味、文献、疾病、科、药用部位,0.5263157894736842,主治用法、主治疾病、具有功能、具有性味、包含中药、属于属、属于科、药用部位为、记载于文献,0.34615384615384615
刺楸 Ciqiu.txt,2025-05-16 20:27:26,不宜与、主治用法、功能、属、性味、疾病、科、药用植物、药用部位,0.47368421052631576,不宜与、主治用法、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.3076923076923077
刺槐 Cihuai.txt,2025-05-16 20:27:47,中药名、功能、属、性味、用法、疾病、科、药用部位、采收加工、采收时间,0.5263157894736842,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、采收加工、采收时间,0.34615384615384615
刺芋 Ciyu.txt,2025-05-16 20:28:31,中药名、功能、外用、属、性味、文献、用法、用法用量、疾病、科、药用部位,0.5789473684210527,主治疾病、具有功能、具有性味、外用、属于属、属于科、用法、用法用量、药用部位为、记载于文献,0.38461538461538464
刺芫荽 Ciyuansui.txt,2025-05-16 20:29:42,中药名、功能、外用、属、应用举例、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.7368421052631579,中药名、主治疾病、具有功能、具有性味、外用、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.5384615384615384
刺茄 Ciqie.txt,2025-05-16 20:30:41,中药名、功能、外用、属、性味、性味功能、用法、用法用量、疾病、科、药用部位、采收时间,0.631578947368421,主治疾病、具有功能、具有性味、具有性味功能、外用、属于属、属于科、用法、用法用量、药用部位为、采收时间,0.4230769230769231
刺蒴麻 Cishuoma.txt,2025-05-16 20:31:18,中药名、功能、外用、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.6842105263157895,中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、药用部位为、记载于文献,0.38461538461538464
剑叶龙血树 Jianyelongxieshu.txt,2025-05-16 20:32:07,中药名、功能、属、应用举例、性味、性味功能、文献、用法用量、疾病、科、药用植物、药用部位、采收加工,0.6842105263157895,中药名、主治疾病、具有功能、属于属、属于科、应用举例、性味功能、用法用量、药用部位为、记载于文献、采收加工,0.4230769230769231
剑麻 Jianma.txt,2025-05-16 20:32:46,中药名、功能、属、性味、用法、疾病、科、药用部位、采收时间,0.47368421052631576,主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、药用部位为、采收时间,0.34615384615384615
化州柚 Huazhouyou.txt,2025-05-16 20:33:10,不宜与、中药名、主治用法、属、性味、性味功能、文献、用法用量、疾病、科、药用部位,0.5789473684210527,不宜与、主治用法、具有性味、具有性味功能、属于属、属于科、应用举例、用法用量、药用部位为、记载于文献,0.38461538461538464
北乌头 Beiwutou.txt,2025-05-16 20:33:31,不宜与、中药名、功能、属、疾病、科、药用部位,0.3684210526315789,不宜与、中药名、主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为,0.34615384615384615
北沙参 Beishasheng.txt,2025-05-16 20:35:00,不宜与、中药名、主治用法、功能、属、应用举例、性味、文献、用法用量、疾病、科、药用部位,0.631578947368421,不宜与、主治用法、主治疾病、具有功能、具有性味、属于属、属于科、应用举例、药用部位为,0.34615384615384615
